Week,Day,Objective,Hours,Notes / Learning Focus,Complete,Road block
1,11/3/2025,"Document CloudSim user stories for Admin, DevOps, and Standard User roles",1.5,Identify key personas and primary goals,yes,
1,11/4/2025,"Create detailed user flows for resource provisioning, scaling, and termination",2,Create a markdown document with 3 user cases,yes,
1,11/5/2025,Write acceptance criteria for each user story,2,Define testable outcomes,yes,
1,11/6/2025,Compile Software Requirements Specification (SRS) document,2,Combine functional and non-functional requirements,yes,
1,11/7/2025,Review all user stories and finalize documentation,2,Approved SRS ready for design,yes,
Milestone,,Milestone: User stories and SRS document completed,0,Foundation for UI and API design,yes,
2,11/10/2025,"Design EC2-style dashboard mockup (instance list, start/stop buttons, metrics cards)",2,Use Figma,yes,
2,11/11/2025,"Create wireframes for instance creation, details, and monitoring pages",2,Ensure UI consistency,yes,
2,11/12/2025,"Document user interface behavior (button clicks, state updates, error handling)",2,Simulate UI-UX transitions,yes,
2,11/13/2025,Design system diagram: frontend actions to backend request to DB save to response,4,Interaction mapping,yes,
2,11/14/2025,Render first static mock screen in React (EC2-like page layout),4,MVP UI built,yes,
Milestone,,Milestone: All wireframes completed + 1 static React page rendered,0,Visual design foundation established,yes,
3,11/17/2025,"Define required backend APIs (Instances, Storage, Network, Metrics)",2,List CRUD routes,yes,
3,11/18/2025,"Design detailed REST endpoints with method, URL, description, and request/response schema",4,Follow REST and OpenAPI style,yes,
3,11/19/2025,Write API reference documentation (OpenAI-style format),2,"Include endpoint summary, examples, status codes",yes,
3,11/20/2025,Create example payloads and mock responses,4,Sample JSON body and response formats,yes,
3,11/21/2025,Finalize API documentation and validate consistency,4,Ready for backend build,yes,
Milestone,,Milestone: Full API reference document drafted and approved,4,Backend blueprint complete,yes,
4,11/24/2025,Set up FastAPI backend and basic server routes,2,Initialize project structure,yes,
4,11/25/2025,Implement /instances POST and GET endpoints with SQLAlchemy models,2,Database CRUD working,yes,
4,11/26/2025,Connect React frontend to FastAPI backend with Axios,2,Send/receive API requests,yes,
4,11/27/2025,Develop functional EC2-like instance creation page (create + display),2,Interactive UI component,yes,
4,11/28/2025,Conduct end-to-end testing (frontend to backend to DB to response),2,Full MVP test passed,yes,
Milestone,,Milestone: Working EC2-style page integrated with backend and DB,0,First deployable prototype ready,yes,
5,12/1/2025,Design authentication screens (login/register),2,UI flow + wireframes,yes,LoginModal simplified to real credentials only (commit 3afcf8d)
5,12/2/2025,Implement authentication UI in React,2,"Forms, validation, protected routes",yes,UserContext has loginWithCredentials + register + logout + role state
5,12/3/2025,Implement JWT authentication in FastAPI,2,"Login, token issue, middleware",yes,auth_routes.py has /register /login /me; bcrypt via direct hashpw (commit ede1978)
5,12/4/2025,Align database schema with frontend models,2,"Users, Instances, Metrics tables",yes,DB CheckConstraint on role; index on email and instance_id
5,12/5/2025,Protect instance APIs with authentication,2,Auth-gated EC2 actions,yes,Every ec2_routes.py endpoint uses Depends(get_current_user); Axios interceptor attaches Bearer token
Milestone,,Milestone: Authentication fully implemented,0,Secure app baseline,yes,
,,,,,,
6,12/8/2025,Research AWS EC2 API and IAM setup,2,"Boto3, IAM roles, credentials",yes,aws_role_manager.py implements STS AssumeRole per user role (commit 06fd5ba)
6,12/9/2025,Connect backend to AWS EC2 (read-only),2,DescribeInstances,yes,list_instances() uses role-based boto3 client via get_ec2_client_for_user()
6,12/10/2025,Trigger EC2 actions from backend,2,Start/Stop/Create instances,yes,All lifecycle actions implemented with RBAC ownership checks (commit a814831)
6,12/11/2025,Store EC2 metadata in Postgres,2,Sync cloud to local DB,yes,sync_instances_to_db() upserts on every GET /instances call
6,12/12/2025,Verify EC2 lifecycle via UI,2,UI to API to AWS to DB,yes,Dashboard connected to live AWS data; VPC/Subnet support added (commit 66b4512)
Milestone,,Milestone: AWS EC2 fully integrated,0,Real cloud control achieved,yes,
,,,,,,
7,12/15/2025,Research CloudWatch metrics model,2,"CPU, Network, Disk",yes,get_instance_metrics() fetches CPUUtilization + NetworkIn/Out + DiskOps
